prev	curr	type	n
Religion	World_War_II	other	468
other-empty	Sports	link	523
Religion	Chemistry	link	2061
Biology	Geography	external	2692
Physics	United_States	link	1122
Wikipedia	History	link	2423
Art	Biology	external	1480
other-internal	Literature	link	781
Geography	English_language	other	1713
English_language	Earth	external	1223
other-search	Philosophy	link	1471
Main_Page	English_language	other	2521
United_States	History	external	1004
Mathematics	Philosophy	link	2117
Geography	Chemistry	link	828
Music	Mathematics	other	495
Earth	Physics	other	1141
Biology	World_War_II	link	566
other-empty	Technology	other	1609
Music	Main_Page	external	2753
History	Chemistry	external	972
Earth	Main_Page	external	1023
Science	Technology	external	2411
Science	World_War_II	external	998
other-external	Main_Page	other	541
Literature	Main_Page	link	1308
Science	Wikipedia	external	433
Physics	Biology	link	2593
English_language	History	link	1962
Earth	Biology	external	2638
other-empty	English_language	other	1519
Geography	Sports	other	1498
Music	Wikipedia	other	3049
Literature	World_War_II	other	2490
Geography	Chemistry	other	1212
other-empty	Sports	external	788
other-external	Physics	external	589
Philosophy	Technology	link	2500
other-search	Technology	other	1774
Art	Philosophy	other	1857
Sports	Chemistry	external	1099
History	Sports	external	1315
History	Earth	link	1600
Main_Page	Music	link	1577
other-internal	Chemistry	link	736
History	Geography	link	1073
other-internal	Geography	external	757
Wikipedia	United_States	external	1918
Main_Page	Chemistry	external	1996
Art	English_language	external	615
Sports	United_States	external	494
Geography	History	other	1364
Sports	Mathematics	link	1081
Sports	World_War_II	external	3372
Literature	Art	link	2559
Philosophy	Chemistry	link	596
Sports	Literature	other	1813
other-search	History	link	1622
other-empty	Literature	link	588
Physics	Art	external	1675
Sports	Science	link	398
other-search	Science	external	1354
World_War_II	Physics	link	924
Philosophy	Philosophy	link	726
Main_Page	Biology	link	2524
English_language	Physics	other	481
Main_Page	Science	link	866
Geography	Art	other	2369
Philosophy	Wikipedia	external	799
Earth	Sports	link	2200
United_States	Technology	other	1997
Physics	History	other	2055
Philosophy	English_language	link	607
Wikipedia	Music	external	2557
Sports	Earth	link	1581
Art	Philosophy	external	1565
other-internal	Technology	other	740
other-internal	History	other	991
Music	Science	other	708
Biology	Biology	other	1231
Philosophy	World_War_II	link	834
Science	Biology	external	2165
Earth	Sports	external	2899
Main_Page	Wikipedia	external	846
other-search	Biology	link	1714
Chemistry	United_States	other	806
Earth	Biology	link	1956
Physics	Physics	link	1872
Physics	Mathematics	external	1444
Geography	Chemistry	other	2557
Main_Page	Technology	other	2133
History	Biology	external	692
Music	Literature	external	700
English_language	Philosophy	link	1519
United_States	Earth	link	1292
Art	Main_Page	link	1251
United_States	Wikipedia	external	825
other-internal	Chemistry	external	844
Mathematics	History	link	1137
Earth	Chemistry	other	2145
Wikipedia	English_language	other	2844
Earth	Technology	external	1681
Geography	Biology	other	1170
Biology	History	link	1647
Music	Mathematics	link	1312
other-external	English_language	external	2056
Literature	World_War_II	external	792
Main_Page	United_States	external	987
Music	Philosophy	link	904
Wikipedia	Chemistry	other	1955
Earth	Mathematics	external	2527
United_States	Literature	link	1029
other-empty	English_language	external	1902
Philosophy	World_War_II	external	744
other-internal	Literature	other	2184
other-search	Physics	external	1078
Physics	Mathematics	link	2299
United_States	English_language	link	2136
Physics	Main_Page	link	1945
Philosophy	Literature	link	1312
United_States	United_States	external	1484
Literature	Sports	other	1760
Science	Sports	other	944
Biology	Main_Page	external	1254
Sports	Physics	external	1734
Mathematics	Geography	link	1173
United_States	Technology	link	3061
Literature	History	other	773
other-empty	United_States	link	1887
Physics	Technology	link	1574
Literature	History	link	996
Main_Page	United_States	link	930
Main_Page	Geography	external	1229
other-external	Main_Page	other	2045
Philosophy	Main_Page	other	1807
other-search	History	external	688
World_War_II	Philosophy	other	1819
Music	History	link	499
Music	Science	other	1569
Music	History	link	1503
Religion	Science	link	2598
Mathematics	Music	link	1199
Mathematics	Literature	link	960
Philosophy	English_language	link	1194
Mathematics	Sports	external	2736
Sports	Technology	other	1639
Philosophy	Religion	other	1355
Science	World_War_II	link	1073
other-search	Geography	link	1888
Mathematics	United_States	external	1256
English_language	Chemistry	link	1862
United_States	Wikipedia	other	2511
Chemistry	World_War_II	external	1111
World_War_II	Chemistry	link	2713
Geography	Wikipedia	other	1777
Art	English_language	external	2315
Philosophy	Biology	other	648
other-internal	Earth	external	1444
other-empty	Mathematics	link	2173
Literature	History	external	1218
English_language	History	external	1280
Music	World_War_II	link	2297
other-internal	Mathematics	other	2397
Philosophy	Biology	external	2064
Chemistry	United_States	external	1817
other-search	Philosophy	link	1682
English_language	Music	other	1332
English_language	Music	other	2903
other-internal	Wikipedia	link	912
Physics	Wikipedia	link	1606
Literature	United_States	link	983
Physics	Geography	link	479
Sports	Music	other	1695
other-empty	Physics	link	1265
Sports	English_language	external	1326
other-internal	Art	external	1394
other-empty	Religion	other	1623
Philosophy	Sports	external	2263
Earth	Art	other	1596
History	Biology	link	761
United_States	Biology	external	2491
other-internal	Technology	other	1006
Art	Biology	other	2041
Music	World_War_II	external	1515
United_States	Earth	external	1541
Technology	Physics	external	1040
World_War_II	Main_Page	external	929
other-empty	Main_Page	external	1509
other-empty	Music	external	1038
Religion	Science	link	1670
Religion	Mathematics	link	1934
Religion	Literature	external	1614
other-external	World_War_II	other	1762
Philosophy	Literature	link	1360
English_language	Earth	external	2708
United_States	Earth	other	1068
Earth	Mathematics	other	1472
World_War_II	Geography	link	558
Geography	Wikipedia	link	1900
Religion	World_War_II	link	818
World_War_II	Chemistry	external	826
Literature	Art	link	2368
other-external	Mathematics	link	2406
other-external	United_States	other	907
Earth	Art	link	1690
History	History	other	1835
Earth	English_language	link	1295
other-external	Geography	other	1807
Religion	Physics	other	729
