prev	curr	type	n
Geography	Physics	other	1544
English_language	Technology	other	2083
World_War_II	World_War_II	other	1439
Sports	Earth	link	1350
Music	Sports	link	1890
Earth	Chemistry	other	2119
Earth	Chemistry	other	1269
Technology	Religion	link	1585
Art	Music	other	1060
English_language	Philosophy	external	806
Sports	Sports	external	2204
other-internal	Chemistry	external	2954
World_War_II	World_War_II	link	1584
Music	Physics	external	3713
Chemistry	Philosophy	other	1360
other-internal	Mathematics	link	1111
Philosophy	Science	external	851
other-empty	Philosophy	link	760
English_language	Biology	link	2082
Art	Wikipedia	other	1740
Music	Earth	link	1846
other-internal	Earth	external	2007
Earth	Main_Page	other	2605
other-external	Chemistry	link	1160
other-empty	Earth	other	661
United_States	Literature	external	1461
Geography	Art	link	1222
Sports	Chemistry	other	1353
Music	Chemistry	other	928
Music	Literature	other	1228
Literature	Philosophy	other	1800
other-internal	Religion	external	2367
United_States	United_States	link	2745
Philosophy	Music	other	1542
other-internal	Earth	link	1478
Art	Technology	other	2568
Science	Physics	link	1778
Chemistry	Sports	other	1548
Music	United_States	external	1107
Mathematics	Chemistry	external	1148
Music	Music	other	1214
Technology	Philosophy	other	1176
Geography	Art	other	697
Chemistry	Chemistry	other	1063
Main_Page	Earth	link	2482
Sports	Chemistry	external	522
Literature	United_States	external	2241
Literature	History	other	801
other-external	Technology	link	2016
Main_Page	Chemistry	other	1943
English_language	History	link	980
English_language	Geography	other	2794
Earth	Art	other	2238
Literature	Religion	other	2458
Music	Physics	external	848
Literature	English_language	external	2327
Physics	World_War_II	other	891
Art	Main_Page	external	2645
other-internal	United_States	external	1104
Mathematics	Music	external	1593
Philosophy	World_War_II	external	1976
Wikipedia	Biology	link	555
Main_Page	Physics	other	3047
other-internal	Physics	link	1310
Earth	Sports	link	2510
Main_Page	World_War_II	other	1474
other-empty	Geography	external	1974
Literature	United_States	link	2334
Art	English_language	link	2163
Philosophy	Philosophy	other	1998
other-external	Art	link	2567
other-empty	Mathematics	link	1926
Literature	Art	other	2754
Wikipedia	Main_Page	link	1375
other-empty	History	other	2020
other-search	Science	other	2455
Sports	Physics	link	1426
Sports	Main_Page	link	1504
other-search	Technology	link	1266
English_language	Physics	other	857
Music	Art	link	1817
Sports	Religion	link	2736
English_language	Technology	other	893
History	Philosophy	link	675
Science	Philosophy	other	713
Biology	Art	link	1899
Physics	Chemistry	link	1479
Technology	Religion	link	1408
Geography	Main_Page	external	1262
Religion	Sports	link	1527
Science	Geography	external	1587
other-internal	Earth	external	1940
Science	Philosophy	other	479
Wikipedia	Main_Page	link	1035
Music	Geography	external	1064
Biology	Art	external	2045
Art	Geography	other	897
Philosophy	Religion	link	1638
other-external	Music	external	944
Biology	Art	link	945
Technology	World_War_II	external	1528
Sports	Biology	link	2165
Earth	Philosophy	other	1140
English_language	History	external	562
Literature	Religion	other	1651
Physics	Chemistry	link	942
Earth	Technology	link	1342
United_States	Biology	other	1847
other-search	World_War_II	external	2034
History	Geography	link	1891
other-external	Music	other	2073
Mathematics	Main_Page	link	1683
History	Religion	other	2421
Mathematics	Sports	other	1268
History	Sports	external	2121
Technology	Earth	link	1589
Sports	Mathematics	external	667
Wikipedia	World_War_II	other	1526
other-external	Literature	other	882
Geography	Art	link	652
other-search	Sports	link	874
Religion	Technology	link	1074
Geography	World_War_II	link	1342
Biology	English_language	link	774
United_States	Science	link	2646
Philosophy	Religion	link	2535
History	Geography	other	904
Music	United_States	external	1738
Music	Music	link	771
Religion	Geography	link	1242
Literature	United_States	external	1544
other-internal	Main_Page	link	1049
other-empty	World_War_II	link	1830
other-internal	Music	link	917
History	Wikipedia	link	630
Music	English_language	other	1565
Earth	History	link	2411
