prev	curr	type	n
Geography	World_War_II	external	722
Wikipedia	English_language	other	835
History	Main_Page	other	1969
Literature	Physics	external	1610
Sports	Main_Page	link	1971
Mathematics	Mathematics	external	1066
Science	Main_Page	link	798
World_War_II	Wikipedia	external	439
other-internal	English_language	link	2102
other-search	Physics	other	628
Mathematics	Mathematics	external	511
Art	Earth	external	2145
Philosophy	Mathematics	external	1387
other-empty	History	other	455
History	Music	link	1452
Literature	Music	external	2177
Science	World_War_II	external	1302
Earth	Philosophy	other	1870
Mathematics	Music	other	743
other-external	Religion	other	1460
World_War_II	Wikipedia	link	544
Mathematics	Music	link	1153
English_language	Biology	external	1513
Philosophy	Mathematics	external	767
United_States	Literature	link	2662
Physics	Religion	external	1711
United_States	Music	link	1511
United_States	Sports	external	2514
other-empty	Religion	other	828
other-empty	Religion	other	1387
Mathematics	Mathematics	other	1932
World_War_II	Literature	other	2442
Sports	Technology	link	986
Main_Page	Wikipedia	external	1587
other-search	Biology	link	1319
Biology	Art	external	1704
United_States	Earth	link	1689
United_States	Literature	external	2278
History	Technology	external	1234
Geography	Science	other	2592
other-empty	Music	link	744
Chemistry	Technology	external	1439
Religion	Mathematics	link	1918
World_War_II	United_States	external	668
Philosophy	Art	external	1757
Science	Technology	other	627
Chemistry	Geography	link	594
Music	Earth	external	1464
Mathematics	Music	external	743
Philosophy	English_language	other	977
Art	Technology	external	691
Sports	World_War_II	link	2849
Philosophy	Philosophy	external	2372
English_language	Chemistry	external	1790
Literature	Literature	other	1871
Sports	History	link	1217
Main_Page	Mathematics	link	974
Sports	United_States	link	2698
Physics	Science	link	2002
United_States	Music	external	2810
Philosophy	United_States	external	933
other-search	Chemistry	other	1126
History	Wikipedia	link	2494
Chemistry	History	other	556
Chemistry	Philosophy	link	2083
Science	History	other	559
Religion	Chemistry	link	2077
other-search	Physics	external	2047
Geography	United_States	link	1442
Mathematics	Wikipedia	external	1843
Mathematics	Technology	link	1755
Technology	Technology	link	2310
English_language	Main_Page	external	1418
Geography	Mathematics	link	2537
Music	Geography	other	1027
United_States	Physics	other	714
Philosophy	Wikipedia	other	741
other-empty	Literature	other	1275
Religion	Geography	other	2434
Mathematics	Literature	other	1142
Physics	United_States	link	2012
Geography	Art	other	1591
Technology	Geography	external	2177
Technology	Music	link	1173
other-internal	Music	link	1761
other-empty	Main_Page	external	1990
Chemistry	Science	other	2579
Science	World_War_II	external	1461
Music	Religion	external	1327
Music	History	external	734
History	Technology	other	1450
Physics	Chemistry	other	1625
Main_Page	World_War_II	other	1252
other-empty	English_language	external	2440
Art	Literature	other	807
Science	Sports	link	2728
Wikipedia	Music	external	993
Biology	Literature	link	2294
Geography	Science	external	660
Mathematics	Wikipedia	link	431
other-search	Main_Page	other	1993
Earth	Geography	external	585
Science	Wikipedia	link	431
History	Science	external	1552
World_War_II	Art	external	1062
Earth	Science	other	1884
Earth	Religion	other	1727
other-empty	Sports	link	801
other-internal	Earth	link	996
Wikipedia	Sports	other	607
Art	Wikipedia	link	2237
Mathematics	Art	external	2116
English_language	Wikipedia	external	1113
Mathematics	Chemistry	link	868
Religion	World_War_II	link	658
Music	Main_Page	external	2711
Religion	United_States	external	1019
other-empty	English_language	other	2747
United_States	United_States	link	1883
Earth	Geography	link	1942
History	United_States	link	2340
other-internal	Wikipedia	link	665
Wikipedia	English_language	other	898
Art	English_language	other	1946
other-external	Physics	other	1394
Geography	World_War_II	external	1556
Wikipedia	Technology	other	2475
World_War_II	Chemistry	external	2485
Science	History	external	1470
Music	United_States	other	2088
Religion	Philosophy	other	1267
Main_Page	Earth	link	559
English_language	English_language	external	843
other-external	Technology	external	2076
other-internal	Science	external	1752
English_language	Music	link	1550
Literature	Geography	link	1668
Music	Earth	link	1670
Wikipedia	English_language	external	1974
Literature	Philosophy	other	1991
Main_Page	Physics	link	909
Religion	Science	link	1140
United_States	Philosophy	other	2528
other-empty	Biology	external	1638
Mathematics	Earth	external	785
Technology	Science	other	1967
Chemistry	Science	other	2336
Chemistry	Mathematics	other	2227
World_War_II	Chemistry	external	1114
Mathematics	United_States	link	577
Art	Geography	external	2016
Mathematics	World_War_II	external	1754
World_War_II	World_War_II	other	1669
Main_Page	Wikipedia	external	454
Literature	Physics	link	633
History	English_language	link	2563
Wikipedia	World_War_II	link	638
Wikipedia	Earth	external	708
Geography	Earth	external	1042
Earth	History	link	2260
Art	Sports	link	2085
other-external	Wikipedia	link	2314
Wikipedia	History	link	3002
Mathematics	Mathematics	link	940
Science	History	link	2114
Literature	Music	other	633
Wikipedia	United_States	external	2067
United_States	Philosophy	external	1205
Literature	History	link	777
United_States	World_War_II	link	1371
World_War_II	Mathematics	link	1403
other-empty	Literature	external	1812
Main_Page	Earth	external	1839
Wikipedia	Philosophy	link	1266
Literature	English_language	external	906
Mathematics	Sports	external	1892
Art	Science	link	1723
Chemistry	Biology	external	741
other-search	Physics	other	784
Geography	Mathematics	external	1414
Main_Page	English_language	other	1766
Main_Page	United_States	other	1610
Literature	Music	external	2523
Geography	Earth	other	2607
Literature	United_States	other	1489
Geography	Mathematics	other	1685
Philosophy	Religion	other	1267
