prev	curr	type	n
Physics	Art	external	1556
Wikipedia	Main_Page	external	1374
Philosophy	United_States	link	825
other-empty	Philosophy	external	547
other-search	Earth	link	2207
other-internal	Main_Page	link	847
Geography	Technology	link	1847
World_War_II	World_War_II	other	1281
Philosophy	Chemistry	other	1213
Mathematics	Chemistry	external	1108
Art	English_language	link	1689
Literature	World_War_II	link	715
United_States	Music	link	1070
Mathematics	United_States	external	1510
other-external	Philosophy	link	1276
Earth	Chemistry	link	1632
United_States	Art	external	1058
other-external	Art	external	1804
Music	World_War_II	link	2351
other-search	Main_Page	link	1952
Wikipedia	Religion	other	1147
World_War_II	Main_Page	other	1312
other-internal	Philosophy	other	1340
World_War_II	Music	other	1567
other-internal	Technology	link	777
Philosophy	English_language	link	1159
Religion	English_language	link	1624
Chemistry	Philosophy	external	1257
Philosophy	Wikipedia	link	2892
other-internal	United_States	other	780
Religion	Music	external	682
United_States	Biology	external	2132
World_War_II	Literature	other	881
Philosophy	English_language	other	2070
Art	Sports	external	765
other-empty	Art	other	1541
World_War_II	Religion	external	2062
United_States	Music	external	2115
other-empty	Art	link	1277
Geography	Music	external	1768
Chemistry	English_language	link	738
Chemistry	History	external	662
Technology	Technology	external	1619
Mathematics	Music	other	2179
Music	Mathematics	external	2134
Main_Page	Literature	link	922
Chemistry	Sports	other	1059
other-search	Wikipedia	other	1776
United_States	United_States	external	2323
Philosophy	Art	link	1870
other-external	United_States	other	2038
Biology	Religion	link	1060
Music	Chemistry	link	1996
United_States	Art	external	761
Literature	Science	link	1933
Main_Page	History	other	1611
Art	Chemistry	other	1157
Religion	United_States	external	2407
Philosophy	Geography	link	1525
Technology	United_States	link	1797
Geography	Earth	other	1431
other-internal	Physics	external	1469
other-empty	World_War_II	link	1170
Sports	Sports	link	517
United_States	Earth	external	1460
History	Music	other	1216
Chemistry	Mathematics	external	908
other-external	Biology	link	1841
Earth	English_language	other	1987
Physics	Art	other	2804
Philosophy	Sports	link	1728
Science	History	external	628
Art	Art	link	1723
Philosophy	Art	other	1265
