prev	curr	type	n
History	Main_Page	link	1347
United_States	Technology	other	1522
World_War_II	Religion	other	888
History	Wikipedia	link	940
Mathematics	Religion	other	623
Science	Science	other	2206
Sports	Chemistry	other	2238
Wikipedia	Biology	external	2829
other-external	Religion	external	1093
Religion	World_War_II	other	1909
United_States	Sports	other	1146
Music	United_States	external	902
World_War_II	Earth	external	1877
Physics	Science	link	531
Technology	Sports	link	626
other-external	Mathematics	other	2022
English_language	United_States	link	1979
Mathematics	Wikipedia	other	1609
Wikipedia	Earth	external	1347
Philosophy	Philosophy	other	2168
Earth	Art	link	463
Literature	United_States	other	1288
Wikipedia	Mathematics	other	2114
Technology	Geography	external	1786
United_States	Physics	external	1194
Biology	Biology	link	1389
History	Earth	other	2367
other-external	Art	external	1284
other-search	Art	other	606
Technology	Philosophy	external	1039
United_States	Main_Page	other	1598
Music	English_language	external	2141
United_States	Technology	other	2561
Technology	Wikipedia	link	1086
Earth	Literature	link	1386
Science	History	link	874
Geography	Religion	external	2040
Earth	Technology	other	1647
other-empty	United_States	link	789
History	Biology	external	2250
Wikipedia	Physics	link	1158
Religion	Science	external	1753
Chemistry	Literature	link	680
Art	English_language	external	1660
other-search	Literature	link	2276
Mathematics	Philosophy	other	1426
Mathematics	Literature	other	1583
other-empty	Main_Page	other	1949
Literature	Mathematics	external	1218
other-search	Biology	other	2408
Technology	Music	link	1515
Philosophy	Chemistry	link	1168
other-search	Main_Page	other	1011
English_language	Religion	link	1520
Physics	Religion	other	956
Music	Earth	other	2527
Music	Physics	external	737
Literature	Earth	external	2766
Chemistry	Main_Page	external	1931
other-empty	Art	link	1854
Mathematics	Art	link	870
Main_Page	Art	external	2170
United_States	History	link	2316
Geography	Geography	link	570
Technology	Geography	link	1789
Technology	Earth	external	1894
other-external	Geography	link	2358
Main_Page	Chemistry	link	1410
Science	Music	external	1821
Science	United_States	link	1430
Wikipedia	Technology	link	556
Music	Earth	link	3076
other-search	History	link	2401
Art	Music	external	2257
World_War_II	History	external	1980
United_States	World_War_II	link	1376
Technology	Biology	external	805
Music	Science	link	576
other-external	Wikipedia	link	805
Philosophy	History	external	1831
Main_Page	Mathematics	external	2538
Mathematics	United_States	other	998
World_War_II	Music	external	2288
Biology	United_States	other	1075
Literature	Main_Page	external	1623
Earth	Art	link	1941
World_War_II	Earth	link	851
Philosophy	Biology	link	1613
other-search	World_War_II	link	906
Physics	World_War_II	external	779
other-internal	Technology	link	2168
Mathematics	Main_Page	external	1042
Chemistry	Technology	link	1280
Geography	Main_Page	external	1721
Religion	Geography	other	1768
History	Wikipedia	external	1640
other-external	Wikipedia	other	2044
Art	Sports	external	2816
World_War_II	Science	other	730
other-internal	Technology	external	2289
World_War_II	World_War_II	other	2110
Earth	Geography	other	1696
Mathematics	Technology	external	1168
Chemistry	Music	link	699
United_States	Mathematics	link	856
Physics	Science	external	1285
Art	World_War_II	link	1954
Main_Page	Technology	external	1490
other-internal	Earth	other	2674
English_language	Physics	link	1663
United_States	Geography	external	956
Art	Mathematics	link	1838
Geography	Science	link	1732
Physics	Science	other	1263
United_States	Geography	other	1077
other-empty	Music	other	2334
other-search	Mathematics	other	1696
Wikipedia	Earth	link	1164
English_language	Biology	external	1941
Chemistry	Main_Page	link	1544
United_States	World_War_II	other	1205
other-empty	Sports	other	1003
Technology	Main_Page	external	755
English_language	World_War_II	external	991
Literature	Chemistry	other	1012
Mathematics	History	external	575
Literature	Literature	other	1510
Philosophy	Literature	other	1139
Wikipedia	Biology	other	1622
Religion	Philosophy	external	2011
Geography	Earth	external	2118
Music	Biology	external	651
Literature	Main_Page	link	1876
Mathematics	Biology	link	964
Literature	Earth	external	1122
Literature	Geography	link	1643
Music	Technology	external	1172
Art	History	external	615
Physics	Literature	other	1296
Music	Chemistry	link	730
Music	World_War_II	other	2095
other-internal	English_language	link	2048
other-external	Geography	other	1749
other-search	Physics	other	726
Main_Page	Earth	external	785
other-empty	Geography	external	2072
Earth	Biology	link	1341
other-internal	United_States	other	1918
Biology	Religion	external	1224
World_War_II	Earth	link	2347
Technology	Wikipedia	link	919
Wikipedia	Music	other	2668
other-internal	Physics	external	1269
other-external	Earth	other	1855
Art	Music	link	843
Literature	Main_Page	external	1006
Religion	Biology	external	1881
other-search	English_language	other	1676
Music	Religion	link	1331
other-internal	Geography	other	1361
Physics	Biology	link	2664
Philosophy	World_War_II	external	1885
Religion	Literature	external	1788
Biology	Biology	external	648
History	History	external	881
Biology	History	link	1156
Mathematics	Technology	link	1583
Science	English_language	other	1934
Biology	English_language	external	2359
Main_Page	Chemistry	external	1145
Mathematics	Chemistry	link	611
Science	Sports	external	1062
Chemistry	Art	external	948
Art	Technology	external	1030
other-internal	Philosophy	other	2968
Chemistry	Mathematics	other	2197
United_States	Literature	external	2461
other-external	Art	other	1784
Chemistry	Technology	link	2164
Chemistry	Wikipedia	other	1945
Literature	Music	other	935
Sports	Main_Page	external	2572
Mathematics	Literature	other	2587
Philosophy	Mathematics	other	773
History	Geography	link	1392
Philosophy	Physics	other	543
other-external	Biology	other	792
Physics	Earth	external	1114
Sports	Geography	other	706
other-external	Music	external	838
Biology	Music	link	687
Philosophy	Biology	other	1094
Music	Philosophy	other	1866
Art	World_War_II	external	1195
Sports	Earth	external	2027
Geography	Religion	link	418
Geography	Chemistry	external	1990
Biology	Biology	link	1179
Literature	Biology	external	1348
other-search	Literature	external	1306
Sports	English_language	external	1056
other-search	Religion	external	549
other-internal	Music	external	2111
Main_Page	Music	external	1289
World_War_II	Philosophy	external	1562
History	Literature	external	752
other-external	Philosophy	other	2632
Mathematics	Sports	external	2319
other-search	Physics	link	808
United_States	United_States	external	641
Philosophy	History	other	2249
United_States	Main_Page	external	2083
Physics	United_States	link	1861
other-empty	Mathematics	other	1245
Science	Chemistry	other	547
Music	Geography	link	2560
Religion	Geography	other	1432
Mathematics	Technology	link	1665
Sports	Technology	external	1876
Earth	Philosophy	link	2075
Technology	Philosophy	link	1027
Music	Literature	other	1045
Religion	Philosophy	link	1330
Technology	United_States	external	1435
English_language	World_War_II	external	1326
Earth	Physics	external	1946
English_language	History	other	1869
Earth	Technology	link	1703
Physics	Earth	external	1549
Mathematics	Wikipedia	link	642
Philosophy	Music	other	534
Religion	Art	other	1562
other-search	Mathematics	other	2000
Science	United_States	link	760
Science	Sports	other	1747
Art	World_War_II	other	1775
Geography	Biology	external	2736
Technology	Technology	other	1537
other-empty	Physics	other	1813
Sports	Chemistry	external	2474
English_language	World_War_II	external	1337
United_States	United_States	link	2459
Philosophy	Chemistry	link	2576
other-search	Main_Page	other	1556
Geography	Science	link	917
Mathematics	English_language	external	1888
Main_Page	Religion	other	1860
other-external	Sports	other	2273
Technology	Chemistry	external	1894
Sports	Art	link	2134
Art	Technology	other	47
Wikipedia	Earth	other	46
Geography	Physics	link	46
United_States	Biology	external	39
Mathematics	Music	external	52
Literature	Philosophy	link	37
Earth	United_States	external	45
Chemistry	English_language	external	56
Geography	Philosophy	other	64
Technology	Mathematics	other	53
Chemistry	Wikipedia	link	46
Technology	Chemistry	other	41
English_language	Physics	link	49
Chemistry	Sports	link	56
Physics	Physics	external	40
Wikipedia	Religion	external	49
Technology	Religion	external	50
Earth	Biology	external	42
Literature	Wikipedia	link	57
Earth	Mathematics	other	44
Sports	History	external	56
Art	English_language	link	38
other-empty	Sports	other	49
Geography	Chemistry	external	63
Music	United_States	other	49
Chemistry	Technology	other	51
Wikipedia	World_War_II	link	45
other-empty	Geography	external	49
Art	Geography	link	45
other-external	Literature	other	41
Sports	Science	external	49
United_States	English_language	other	46
History	World_War_II	link	48
Physics	Earth	external	51
Sports	Technology	link	55
World_War_II	Art	other	48
Technology	Music	other	40
Sports	Music	external	53
Main_Page	English_language	link	52
other-internal	Music	external	58
Religion	Biology	external	44
History	Technology	other	52
Physics	Religion	other	52
Physics	Physics	external	36
other-search	Mathematics	other	45
History	Earth	link	46
Main_Page	Sports	link	61
Art	Wikipedia	link	44
Mathematics	Art	link	65
Physics	United_States	other	56
other-internal	Mathematics	other	47
