prev	curr	type	n
Science	Philosophy	other	1939
Religion	Biology	other	1699
Literature	Physics	other	2123
Chemistry	Science	other	2120
Sports	Literature	link	1308
Chemistry	Music	external	2616
other-external	Physics	link	2392
Biology	Mathematics	link	1239
Earth	Art	external	2011
Sports	Music	other	2111
Sports	Chemistry	other	1590
Geography	English_language	other	2272
Science	Technology	other	2800
other-search	Mathematics	link	1018
Wikipedia	Science	external	948
Sports	Mathematics	link	873
Religion	History	other	1946
other-empty	Wikipedia	link	1511
Philosophy	Music	other	2399
Sports	Art	external	2064
Main_Page	World_War_II	other	629
Technology	Main_Page	external	1195
Physics	Geography	link	1452
Literature	History	external	1775
Mathematics	Philosophy	other	1308
English_language	World_War_II	external	2051
Technology	United_States	other	1594
Religion	Science	link	2448
United_States	Philosophy	link	2306
Music	Science	other	2041
Music	History	external	2572
other-empty	Biology	other	1593
Sports	Music	external	1974
Physics	Music	external	2308
World_War_II	Geography	link	1534
English_language	Earth	external	1036
Main_Page	Philosophy	link	2694
other-empty	World_War_II	external	1407
English_language	Literature	external	1382
Geography	Science	external	2436
History	Main_Page	link	588
other-external	Biology	other	1937
Earth	United_States	link	1108
English_language	World_War_II	link	1478
English_language	Physics	external	1091
Art	Biology	external	1886
Mathematics	English_language	link	1828
English_language	Literature	link	769
Science	Art	external	944
Technology	Sports	external	989
other-external	Art	external	1487
other-internal	Geography	other	557
Earth	United_States	external	1383
Main_Page	United_States	external	1214
Physics	Chemistry	other	492
English_language	English_language	external	1285
Religion	Science	link	885
Art	World_War_II	other	719
Biology	Geography	link	535
Wikipedia	Literature	link	585
United_States	Philosophy	link	1359
Religion	Literature	link	1793
Earth	Wikipedia	other	1608
Technology	Science	link	992
Literature	Music	link	968
Biology	English_language	link	1792
other-external	Religion	external	2288
Geography	History	other	1738
Mathematics	History	external	551
Sports	Main_Page	link	1119
Chemistry	Religion	other	928
Literature	English_language	link	1976
Biology	United_States	other	550
English_language	Technology	other	1766
History	Technology	external	2473
United_States	Chemistry	other	928
other-internal	Mathematics	other	1870
Earth	Music	external	1692
United_States	Philosophy	other	1665
Religion	World_War_II	other	1259
other-external	World_War_II	other	3393
English_language	English_language	other	693
Literature	Mathematics	other	1724
Biology	World_War_II	external	572
Wikipedia	Biology	external	974
Main_Page	Wikipedia	link	772
Geography	Religion	external	1472
other-external	Music	other	685
Religion	Technology	external	555
History	Biology	other	1306
Wikipedia	Wikipedia	other	2056
Physics	Wikipedia	other	1929
History	Literature	link	792
World_War_II	Sports	other	798
Science	Religion	other	850
Religion	Geography	external	2626
History	Science	other	1787
United_States	Chemistry	external	1739
other-external	Sports	link	1455
Wikipedia	Geography	other	552
Religion	Earth	link	1449
Biology	Literature	link	861
other-external	English_language	other	1683
other-internal	Biology	other	729
other-external	English_language	other	2242
Philosophy	Wikipedia	link	1552
Art	Mathematics	link	2741
Literature	Biology	link	1252
English_language	World_War_II	link	1362
Main_Page	United_States	other	2096
Geography	English_language	link	2193
World_War_II	Music	link	2002
World_War_II	Wikipedia	link	1656
Music	Chemistry	other	1880
Literature	Philosophy	external	2209
other-internal	Main_Page	link	1626
World_War_II	World_War_II	link	2885
other-empty	History	external	1927
Music	Philosophy	external	1509
Geography	Biology	other	603
Biology	World_War_II	link	2531
other-empty	Science	link	1613
other-empty	World_War_II	other	682
Physics	Philosophy	external	1103
Earth	Literature	external	2934
Earth	Earth	external	1531
Physics	Philosophy	other	1419
Biology	Geography	external	1165
Religion	Technology	other	668
Religion	Mathematics	external	872
Biology	English_language	external	2231
Main_Page	Music	external	648
Chemistry	World_War_II	other	889
Literature	Philosophy	link	2681
United_States	English_language	link	875
Religion	United_States	external	2233
Physics	Philosophy	external	1537
Science	Wikipedia	link	660
History	Religion	link	1062
Literature	Science	link	1076
Religion	History	external	615
Art	Science	link	856
Literature	Earth	external	1297
Philosophy	Technology	external	2258
Sports	Mathematics	link	1715
Mathematics	World_War_II	link	1776
Technology	World_War_II	link	2405
other-search	Wikipedia	external	1486
World_War_II	Music	other	1687
Mathematics	World_War_II	link	451
Main_Page	Music	external	2304
Chemistry	Literature	other	1525
English_language	World_War_II	external	2237
World_War_II	World_War_II	link	2309
Chemistry	Science	external	1730
Literature	Philosophy	external	2368
World_War_II	Biology	link	1512
World_War_II	Wikipedia	external	2445
Physics	Mathematics	link	857
Mathematics	Chemistry	external	338
Art	Chemistry	external	1377
Music	History	other	1351
other-search	Biology	link	1592
Music	English_language	other	692
other-search	Science	external	805
other-internal	Music	other	2072
Physics	Art	link	1481
History	Biology	external	1387
English_language	Art	external	1596
Music	Geography	link	1697
Biology	Art	external	1853
Main_Page	History	link	678
Chemistry	United_States	external	1153
Wikipedia	Chemistry	external	2053
Technology	Main_Page	other	1510
Physics	Sports	link	1009
Physics	History	other	423
Main_Page	Physics	link	2599
History	Music	link	1241
Physics	Sports	external	2507
Physics	Religion	other	2439
History	Main_Page	other	1465
History	Geography	external	1696
Sports	Chemistry	link	1787
other-search	Earth	other	1789
Technology	Biology	other	2148
Sports	Chemistry	link	1991
other-external	Literature	link	1181
other-search	World_War_II	external	2471
Science	History	external	2370
Music	Earth	link	2503
Literature	World_War_II	external	2105
Art	Biology	link	1945
Art	World_War_II	link	718
History	Wikipedia	other	955
Main_Page	Mathematics	other	1310
Biology	Geography	external	785
Earth	Earth	other	1086
Biology	Main_Page	link	1925
Sports	English_language	link	2515
History	Philosophy	other	1907
Philosophy	Technology	other	1444
Philosophy	Art	link	1875
Chemistry	English_language	link	808
Geography	English_language	external	365
United_States	Earth	link	3163
Science	Literature	other	1570
Religion	Wikipedia	link	2037
Literature	World_War_II	link	832
other-search	Geography	external	1685
other-internal	Philosophy	link	720
Music	World_War_II	external	1451
other-external	Mathematics	other	1942
Geography	History	external	1584
English_language	History	other	1054
Mathematics	Main_Page	external	423
Music	Biology	other	621
Geography	Geography	other	2233
Earth	Chemistry	external	2181
Science	English_language	link	1249
Biology	Biology	link	2101
other-internal	History	link	2642
Technology	Biology	other	1443
Physics	United_States	link	1753
other-internal	Wikipedia	other	1984
Wikipedia	World_War_II	other	1025
other-external	Wikipedia	link	1443
other-empty	United_States	other	1895
other-external	Geography	link	1514
Earth	United_States	link	1684
Science	Technology	other	1404
Earth	Wikipedia	external	1546
Physics	English_language	external	891
United_States	Religion	other	1135
History	Religion	link	1483
other-empty	Science	external	1770
Physics	Earth	link	540
English_language	Philosophy	external	790
Physics	English_language	other	1769
Biology	Technology	other	2424
Sports	Sports	other	779
World_War_II	Mathematics	link	1405
Religion	Technology	other	1772
Physics	Physics	external	1654
Wikipedia	Religion	link	982
Chemistry	Physics	other	2616
United_States	Sports	other	2236
English_language	Wikipedia	link	962
other-search	Sports	other	1223
World_War_II	Music	external	2047
Art	Biology	external	55
Wikipedia	Wikipedia	other	59
Philosophy	Mathematics	other	46
United_States	English_language	link	63
History	Philosophy	external	39
Biology	Biology	other	48
Music	Sports	link	54
Earth	Geography	external	39
Sports	Technology	other	53
Science	Mathematics	other	59
other-internal	English_language	other	49
Sports	Music	other	54
other-search	Science	external	53
Earth	History	external	56
History	Technology	other	61
other-search	Geography	other	40
Earth	Science	external	53
Chemistry	Sports	other	46
United_States	Sports	link	45
