prev	curr	type	n
World_War_II	Science	external	2036
Biology	United_States	link	1020
English_language	Chemistry	external	2835
Physics	Technology	link	674
Religion	Religion	external	1037
Earth	Mathematics	other	719
Biology	World_War_II	external	2054
Main_Page	Geography	link	1541
Wikipedia	Chemistry	external	3431
Philosophy	English_language	other	888
Religion	Physics	other	1697
United_States	Mathematics	link	978
Art	Art	external	1171
Science	World_War_II	link	2933
English_language	Philosophy	other	1704
Religion	Wikipedia	link	967
Literature	World_War_II	external	744
Music	Technology	external	2959
World_War_II	Sports	external	630
other-internal	United_States	external	2427
Main_Page	Wikipedia	external	1203
other-empty	Main_Page	other	2483
Music	Religion	link	714
Physics	Mathematics	external	1309
World_War_II	Philosophy	external	460
Philosophy	History	link	1959
English_language	Wikipedia	external	2844
Music	Biology	other	1936
English_language	Technology	other	2203
other-search	World_War_II	other	2924
Science	Sports	external	2752
other-internal	Earth	external	1478
Chemistry	Biology	external	1323
Wikipedia	Geography	external	2531
other-external	Art	link	924
other-internal	Sports	external	1735
Technology	Science	link	2205
Science	Earth	link	1969
Earth	Physics	external	1623
Earth	Religion	other	1822
World_War_II	Science	link	1372
other-external	Chemistry	other	612
other-empty	Music	link	1834
Music	History	other	1281
other-internal	Music	other	1752
Science	History	other	2068
Science	Physics	other	2144
Chemistry	History	external	975
Science	Earth	external	2487
other-external	Geography	other	1435
other-external	Religion	link	992
Mathematics	Biology	other	850
other-external	Wikipedia	other	2404
other-external	Main_Page	other	2022
other-internal	Art	other	1401
History	Literature	external	1268
Art	Music	link	1937
Mathematics	Mathematics	external	2175
Science	History	link	517
Philosophy	Sports	external	1169
other-empty	Mathematics	link	483
Art	Biology	link	2669
other-internal	History	link	2069
United_States	Mathematics	link	1768
Technology	Earth	other	1528
Art	Earth	external	1866
Chemistry	Sports	link	1767
World_War_II	Art	link	1467
Mathematics	Science	link	1614
Earth	Earth	link	1445
other-external	Physics	link	3477
other-internal	English_language	other	2306
other-search	Biology	link	1434
other-external	Biology	external	1122
Technology	Mathematics	external	854
other-external	History	link	1739
Art	Religion	external	2001
Earth	Religion	other	831
Music	United_States	link	959
other-internal	Sports	other	1189
Earth	Wikipedia	other	1362
other-external	Chemistry	other	1722
English_language	Religion	external	1317
other-empty	Mathematics	external	1473
World_War_II	Sports	link	521
other-external	English_language	external	899
World_War_II	Literature	other	950
Science	Religion	external	1557
Wikipedia	United_States	link	1546
Music	Music	external	2124
Literature	Technology	link	2446
Science	Mathematics	external	717
Mathematics	Mathematics	link	2053
other-external	History	link	1034
Mathematics	United_States	external	2481
other-internal	Music	external	2509
Religion	Geography	other	778
Wikipedia	Literature	link	1381
English_language	Wikipedia	external	1044
other-internal	Mathematics	external	1641
Wikipedia	Main_Page	external	890
Biology	History	external	1907
United_States	Wikipedia	link	2365
Main_Page	United_States	other	2236
Physics	English_language	external	2510
Science	Wikipedia	external	1404
other-search	Earth	external	1563
Philosophy	United_States	external	2509
Wikipedia	Earth	other	1153
other-external	Technology	link	958
Religion	Sports	link	3098
other-empty	English_language	external	760
United_States	Art	external	1805
Biology	United_States	link	749
Religion	Geography	link	2170
Music	Literature	external	982
other-internal	Music	link	682
other-search	Art	external	2267
World_War_II	Sports	other	1336
Chemistry	English_language	other	431
Sports	Sports	external	912
Mathematics	Philosophy	external	2134
Technology	Technology	link	1977
World_War_II	Wikipedia	link	2928
other-internal	Physics	link	670
Chemistry	Main_Page	other	1893
other-empty	Art	link	898
other-empty	Geography	link	2095
Art	Main_Page	other	2138
Technology	Religion	link	1845
English_language	World_War_II	link	547
History	Science	other	689
Chemistry	Geography	other	424
English_language	United_States	external	761
Technology	English_language	other	2224
Chemistry	Music	external	1223
Geography	Geography	external	590
United_States	Art	other	2295
other-search	Technology	external	1689
Music	History	external	1538
Sports	Biology	external	665
Biology	Religion	other	1589
other-search	Geography	other	1868
United_States	Technology	link	2666
Earth	Philosophy	external	2263
