prev	curr	type	n
other-search	Chemistry	other	1266
Physics	Wikipedia	external	1668
Religion	Geography	link	1911
Literature	Physics	other	2012
Literature	Art	external	1697
Literature	Mathematics	other	2285
other-external	Science	external	915
Mathematics	Wikipedia	link	1477
Literature	Geography	other	677
Earth	Art	external	1056
Mathematics	Wikipedia	external	1105
United_States	Mathematics	link	645
History	Technology	other	2271
Technology	Earth	other	1653
Geography	Philosophy	link	1993
other-internal	History	link	1761
World_War_II	Technology	external	694
English_language	History	link	963
Technology	Chemistry	link	2288
Art	Sports	link	1536
Literature	Religion	external	2179
Biology	History	other	1682
Main_Page	Technology	other	1430
Philosophy	World_War_II	other	786
Physics	Wikipedia	external	867
Sports	Earth	other	1913
World_War_II	Music	link	1713
Technology	Music	other	1436
Biology	Wikipedia	external	1790
Technology	Literature	external	1810
United_States	Science	external	1564
United_States	Chemistry	external	1657
other-search	Biology	other	2912
Sports	Earth	external	2089
World_War_II	Earth	external	1553
Technology	Physics	external	1692
Chemistry	Earth	external	1782
Philosophy	United_States	link	682
Wikipedia	Geography	external	1579
other-search	Sports	link	2048
Physics	Philosophy	other	1033
United_States	Sports	other	577
Philosophy	Physics	other	2223
English_language	English_language	other	1852
History	Science	external	1911
Music	History	external	1594
Science	Earth	external	1064
Chemistry	Sports	link	1008
Music	World_War_II	other	1113
Geography	Mathematics	external	863
other-search	Technology	link	2533
other-empty	World_War_II	other	999
English_language	Physics	other	1056
Physics	Chemistry	other	2014
Music	Wikipedia	link	2021
English_language	Biology	other	2645
Science	Main_Page	link	1197
Science	Religion	other	428
Religion	Mathematics	other	922
History	Literature	link	1614
Main_Page	Science	external	827
Geography	Science	external	1160
other-empty	English_language	other	2464
World_War_II	History	other	802
Art	Earth	link	2528
Geography	United_States	external	1826
Technology	Mathematics	other	787
Geography	Earth	external	1490
Geography	Biology	link	1518
Physics	Religion	link	1322
other-external	Geography	other	973
History	Art	external	1063
Main_Page	Art	other	1090
Science	Wikipedia	link	799
Mathematics	Main_Page	other	1880
