prev	curr	type	n
Technology	Chemistry	link	1750
Science	World_War_II	link	1648
Sports	Music	other	700
Main_Page	Wikipedia	external	1029
other-empty	Chemistry	link	1004
Biology	History	link	504
Wikipedia	Philosophy	other	1712
History	Earth	other	696
World_War_II	Physics	external	2161
History	Music	external	2038
Technology	Earth	external	1590
other-search	Literature	link	1658
Earth	Main_Page	other	1036
other-internal	Sports	link	836
other-empty	Philosophy	external	1288
other-external	Wikipedia	other	2139
Philosophy	Chemistry	link	1448
Literature	Geography	link	788
Religion	Religion	other	1767
other-empty	Music	link	1427
Mathematics	Mathematics	external	2202
World_War_II	Philosophy	other	1436
Philosophy	World_War_II	other	999
Technology	Literature	other	1389
Biology	Wikipedia	link	499
World_War_II	History	external	1940
English_language	Earth	link	694
other-empty	English_language	link	723
World_War_II	United_States	link	791
English_language	History	external	1094
other-internal	Sports	link	1219
Mathematics	Biology	link	1048
Sports	Sports	external	526
other-internal	Sports	external	632
Literature	Music	link	766
United_States	Music	external	1825
Music	Religion	link	1091
other-empty	History	link	723
Biology	Religion	link	1062
other-empty	Music	external	1140
Earth	Music	other	1470
Science	English_language	link	1492
other-external	Philosophy	other	1590
Science	Physics	external	1176
other-empty	Geography	link	1984
Art	Art	link	1332
Earth	Religion	external	2483
Biology	Geography	external	595
other-external	World_War_II	external	692
Earth	Sports	other	839
Chemistry	Mathematics	link	2026
Religion	English_language	link	1924
other-external	History	link	1406
Sports	Technology	link	1152
Physics	World_War_II	link	2632
English_language	Science	other	647
World_War_II	Chemistry	link	1939
Technology	Philosophy	external	725
Sports	United_States	external	1857
Mathematics	History	link	829
Religion	Philosophy	external	530
other-external	Music	link	1387
Wikipedia	Sports	link	1503
Religion	English_language	external	1526
Philosophy	World_War_II	link	2017
Philosophy	Music	external	1205
Art	United_States	other	1581
other-search	Literature	other	1176
History	Mathematics	other	714
English_language	English_language	other	1798
History	Wikipedia	external	646
other-search	Literature	other	1787
other-internal	Wikipedia	external	548
Geography	World_War_II	link	1574
Earth	Chemistry	external	2486
History	Geography	external	1681
Literature	Chemistry	external	1796
English_language	World_War_II	other	1029
Earth	Philosophy	link	899
Chemistry	Music	link	709
English_language	Religion	link	2184
Mathematics	Science	other	1066
Earth	Physics	external	628
World_War_II	Science	other	2148
History	History	external	558
other-external	Literature	external	605
Science	Literature	external	789
other-internal	Religion	other	1311
Chemistry	Mathematics	external	1308
other-empty	Chemistry	external	2077
other-search	Music	link	1628
Art	English_language	external	2211
Wikipedia	Mathematics	external	1099
English_language	Science	other	1390
English_language	Philosophy	external	959
Mathematics	Biology	link	1905
other-external	Technology	external	1332
History	World_War_II	external	2432
Sports	Earth	external	902
Art	Literature	link	1276
Philosophy	Religion	external	1987
Chemistry	Science	link	1861
Philosophy	Chemistry	link	2313
World_War_II	English_language	other	1478
Physics	Chemistry	other	1141
Wikipedia	Earth	link	1571
World_War_II	Literature	other	1446
Chemistry	Philosophy	other	1476
Geography	Art	other	1251
United_States	Music	external	526
Main_Page	Science	external	1657
Earth	Main_Page	other	1873
Earth	History	link	905
other-empty	English_language	other	2513
Earth	Chemistry	link	467
other-empty	United_States	link	1350
Main_Page	World_War_II	link	548
Literature	Main_Page	other	646
Philosophy	Earth	link	522
other-internal	History	external	1898
Geography	Geography	other	512
Philosophy	Technology	external	1476
other-search	Science	other	1968
Art	History	link	1627
Mathematics	Music	other	1315
Religion	Art	other	1216
Science	English_language	external	1972
other-internal	Wikipedia	link	634
other-internal	Literature	other	563
Chemistry	Science	link	1340
Sports	Mathematics	link	549
Chemistry	Music	external	2766
History	English_language	link	1602
Main_Page	Literature	link	1619
other-external	Science	other	1131
Physics	World_War_II	link	2239
Sports	Technology	link	1479
Mathematics	Science	other	805
Philosophy	Mathematics	other	2000
Chemistry	English_language	other	2079
Biology	History	link	2436
United_States	Main_Page	external	772
Art	Biology	link	1502
Literature	History	external	2261
Science	English_language	external	901
United_States	Biology	external	1699
Science	Music	external	1052
Earth	Mathematics	external	1950
Religion	Technology	other	2191
Main_Page	Music	other	836
United_States	Science	other	1458
Literature	Chemistry	external	587
other-internal	Philosophy	link	2536
Physics	Wikipedia	other	1445
Chemistry	Physics	link	747
Religion	Earth	external	3003
Sports	Science	link	678
other-search	Physics	link	2217
Literature	Sports	link	2007
other-internal	Literature	external	2543
other-internal	History	external	2281
Geography	Technology	other	974
Geography	Art	other	1435
Chemistry	Technology	external	628
Science	Philosophy	external	727
Religion	Earth	link	1041
Philosophy	History	external	1945
World_War_II	Biology	other	1868
Geography	Physics	external	2021
English_language	World_War_II	other	1290
Mathematics	Art	link	830
Main_Page	Geography	other	1952
Science	United_States	external	2413
Biology	Philosophy	external	2376
Geography	Mathematics	link	1579
Main_Page	History	link	850
Mathematics	World_War_II	other	658
Physics	History	external	984
other-search	Science	external	1786
Literature	Geography	external	2258
Sports	Science	link	1599
Religion	Religion	other	882
Mathematics	English_language	external	1846
Art	Earth	external	775
Science	Religion	link	881
Religion	Physics	link	2430
Geography	Wikipedia	link	1490
History	United_States	other	2798
Physics	Chemistry	external	1558
other-internal	Earth	external	937
Religion	Geography	external	1091
Geography	Mathematics	other	2220
Science	Wikipedia	other	1861
Sports	Mathematics	other	1807
other-external	Wikipedia	link	2541
History	Technology	link	941
Chemistry	English_language	other	476
Biology	Physics	other	1389
Technology	Earth	link	990
Religion	Biology	external	1797
United_States	Sports	link	736
other-search	Physics	link	753
Main_Page	English_language	external	2097
Main_Page	Philosophy	external	1993
Art	United_States	other	2819
Mathematics	Sports	external	1348
other-external	Earth	other	570
other-internal	Sports	link	820
Chemistry	Wikipedia	external	1244
Religion	Chemistry	external	1932
other-internal	Earth	other	959
Sports	Religion	link	1240
Technology	Science	other	1478
Biology	Biology	other	802
World_War_II	Music	link	2446
Physics	Wikipedia	other	1774
Wikipedia	Science	external	2309
other-external	Mathematics	external	1270
Chemistry	World_War_II	other	2583
History	Earth	external	1370
other-search	Art	other	841
Music	Sports	link	1089
Mathematics	World_War_II	external	484
Philosophy	History	external	1469
Technology	English_language	external	696
United_States	History	external	1914
other-search	Science	other	1983
Chemistry	Wikipedia	external	1356
Earth	English_language	other	1553
Main_Page	Science	other	2173
Earth	Geography	other	2385
Religion	Art	other	1573
Religion	Philosophy	other	984
other-search	World_War_II	link	769
Biology	English_language	other	2057
other-search	Sports	other	784
Mathematics	Wikipedia	other	2031
Literature	Sports	external	530
Mathematics	Physics	link	2244
Geography	Science	link	1918
Earth	Religion	link	699
Music	Literature	other	966
History	Technology	external	2327
other-external	Philosophy	other	1709
Geography	Biology	other	374
Biology	United_States	link	630
Technology	Mathematics	external	1041
other-empty	Mathematics	other	1428
Main_Page	Technology	other	2393
English_language	Technology	other	1651
Art	Earth	other	61
Religion	United_States	external	57
English_language	World_War_II	external	49
other-empty	Technology	link	52
other-external	Physics	link	61
Music	English_language	link	65
Art	Philosophy	external	35
Philosophy	History	external	54
Art	Earth	external	58
Chemistry	Physics	other	50
Geography	Music	external	51
Main_Page	Technology	link	44
Wikipedia	History	link	53
Religion	Religion	other	42
Music	Art	link	47
other-search	Main_Page	link	46
Main_Page	Main_Page	other	59
other-search	Biology	other	30
Chemistry	World_War_II	link	59
Earth	Art	external	48
Science	United_States	link	46
Chemistry	History	link	57
History	Science	external	52
Physics	Earth	link	60
Religion	Technology	external	46
Earth	Chemistry	other	37
History	Science	link	48
United_States	Wikipedia	external	44
Literature	United_States	link	43
Religion	World_War_II	external	60
Science	Chemistry	external	46
Biology	Physics	external	51
Religion	Mathematics	external	51
Chemistry	Main_Page	link	52
Wikipedia	Main_Page	other	48
Art	Earth	other	50
Science	Religion	link	48
Main_Page	Physics	link	56
Wikipedia	English_language	link	55
Biology	Mathematics	link	58
Chemistry	English_language	link	51
Philosophy	Chemistry	other	59
Music	Religion	external	47
Art	Physics	link	44
Music	Religion	other	41
Wikipedia	Music	link	47
other-external	Philosophy	external	51
Physics	History	external	51
Science	Sports	external	50
Wikipedia	Music	link	40
other-search	Biology	link	36
United_States	Technology	other	49
Music	Wikipedia	other	49
Philosophy	Science	external	42
Literature	Music	other	45
History	Science	other	43
Sports	World_War_II	other	36
Art	Art	other	54
United_States	Wikipedia	other	46
Philosophy	Religion	other	41
other-internal	Religion	external	62
Biology	Earth	external	54
Science	Literature	other	63
other-internal	Religion	external	62
Science	Religion	link	41
Mathematics	Religion	external	62
Chemistry	Sports	external	52
other-empty	Music	other	51
Art	Physics	other	57
Religion	Sports	other	51
other-internal	Religion	link	53
Technology	Literature	link	47
